type,code,parent_code,name_uz,name_uz_cyril,name_ru,name_kaa,deleted
PROFESSION,19,,O’zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi apparati rahbari o’rinbosari,Ўзбекистон Республикаси Олий Мажлиси Қонунчилик палатаси аппарати раҳбари ўринбосари,Заместитель руководителя аппарата Законодательной палаты Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Nızamshılıq palatası apparatı basshısı orınbasarı,false
PROFESSION,20,,O’zbekiston Respublikasi Oliy Majlisi Senati apparati rahbari o’rinbosari,Ўзбекистон Республикаси Олий Мажлиси Сенати аппарати раҳбари ўринбосари,Заместитель руководителя аппарата Сената Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Senatı apparatı basshısı orınbasarı,false
PROFESSION,21,,Oliy Majlis Qonunchilik palatasi Spikerining o’rinbosari,Олий Мажлис Қонунчилик палатаси Спикерининг ўринбосари,Заместитель Спикера законодательной палаты Олий Мажлиса,Oliy Májilis Nızamshılıq palatası Spikerinıń orınbasarı,false
PROFESSION,22,,O’zbekiston Respublikasi Oliy Majlisining Inson huquqlari bo’yicha vakili (Ombudsman) kotibiyati maslahatchisi,Ўзбекистон Республикаси Олий Мажлисининг Инсон ҳуқуқлари бўйича вакили (Омбудсман) котибияти маслаҳатчиси,Консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека (омбудсмана),Ózbekstan Respublikası Oliy Majlisinıń Inson huquqları boyınsha wákili (Ombudsman) xatkerligi másláhátshisi,false
PROFESSION,23,,Ombudsman,Омбудсман,Омбудсман,Ombudsman,false
PROFESSION,24,,O’zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi jamoat fondi mas’ul kotibi,Ўзбекистон Республикаси Олий Мажлиси Қонунчилик палатаси жамоат фонди масъул котиби,Ответственный секретарь общественного фонда Законодательной палаты Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Nızamshılıq palatası jámáát fondı juwapker xatkeri,false
PROFESSION,25,,O’zbekiston Respublikasi Bosh prokurorining birinchi o’rinbosari,Ўзбекистон Республикаси Бош прокурорининг биринчи ўринбосари,Первый заместитель Генерального прокурора Республики Узбекистан,Ózbekstan Respublikası Bas prokurorinıń birinshi orınbasarı,false
PROFESSION,26,,Jo’qorg’i Kenges raisining birinchi o’rinbosari,Жўқорғи Кенгес раисининг биринчи ўринбосари,Первый заместитель председателя Жокаргы Кенеса,Joqarǵı Keńes raisinıń birinshi orınbasarı,false
PROFESSION,27,,"Prokurorning birinchi o’rinbosari (tuman, shahar, viloyat)","Прокурорнинг биринчи ўринбосари (туман, шаҳар, вилоят)","Первый заместитель прокурора (района, города, области)","Prokurornıń birinshi orınbasarı (rayon, qala, wálayat)",false
PROFESSION,28,,Bosh prokuror yordamchisi,Бош прокурор ёрдамчиси,Помощник Генерального прокурора,Bas prokuror járdemshisi,false
PROFESSION,29,,Oliy sud raisi o’rinbosari yordamchisi,Олий суд раиси ўринбосари ёрдамчиси,Помощник заместителя председателя Верховного суда,Joqarı sud baslıǵı orınbasarı járdemshisi,false
PROFESSION,30,,Konstitutsiyaviy sud raisi yordamchisi,Конституциявий суд раиси ёрдамчиси,Помощник председателя Конституционного суда,Konstituciyalıq sud baslıǵı járdemshisi,false
PROFESSION,31,,Sud raisi yordamchisi,Суд раиси ёрдамчиси,Помощник председателя суда,Sud baslıǵı járdemshisi,false
PROFESSION,32,,O’zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi Spikerining yordamchisi,Ўзбекистон Республикаси Олий Мажлиси Қонунчилик палатаси Спикерининг ёрдамчиси,Помощник Спикера Законодательной палаты Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Nızamshılıq palatası Spikerinıń járdemshisi,false
PROFESSION,33,,Oliy sud raisi,Олий суд раиси,Председатель Верховного суда,Joqarı sud baslıǵı,false
PROFESSION,34,,Sud’yalar oliy kengashi raisi,Судьялар олий кенгаши раиси,Председатель Высшего судейского совета,Sud'yalar oliy keńesi baslıǵı,false
PROFESSION,35,,Oliy iqtisodiy Sud raisi,Олий иқтисодий Суд раиси,Председатель Высшего хозяйственного суда,Joqarı ekonomikalıq sud baslıǵı,false
PROFESSION,36,,Jo’qorg’i Kenges raisi,Жўқорғи Кенгес раиси,Председатель Жокаргы Кенеса,Joqarǵı Keńes baslıǵı,false
PROFESSION,2525,,Muhandis,Муҳандис,Инженер,Injener,false
PROFESSION,38,,Oliy Majlis Qonunchilik palatasining qo’mitasi (komissiyasi) raisi,Олий Мажлис Қонунчилик палатасининг қўмитаси (комиссияси) раиси,Председатель комитета (комиссии) законодательной палаты Олий Мажлиса,Oliy Májilis Qonunchilıq palatasinıń komiteti (komissiyası) baslıǵı,false
PROFESSION,39,,Oliy Majlis Senati qo’mitasi (komissiyasi) raisi,Олий Мажлис Сенати қўмитаси (комиссияси) раиси,Председатель комитета (комиссии) Сената Олий Мажлиса,Oliy Májilis Senatı komiteti (komissiyası) baslıǵı,false
PROFESSION,40,,Konstitutsiyaviy sud raisi,Конституциявий суд раиси,Председатель Конституционного суда,Konstituciyalıq sud baslıǵı,false
PROFESSION,41,,Oliy Majlis raisi,Олий Мажлис раиси,Председатель Олий Мажлиса,Oliy Májilis baslıǵı,false
PROFESSION,42,,Oliy sud doimiy sessiyasi raisi,Олий суд доимий сессияси раиси,Председатель постоянной сессии Верховного суда,Joqarı sud turaqlı sessiyasi baslıǵı,false
PROFESSION,43,,Prezidium raisi,Президиум раиси,Председатель президиума,Prezidium baslıǵı,false
PROFESSION,44,,Oliy Majlis Senati raisi,Олий Мажлис Сенати раиси,Председатель Сената Олий Мажлиса,Oliy Májilis Senatı baslıǵı,false
PROFESSION,45,,Sud raisi,Суд раиси,Председатель суда,Sud baslıǵı,false
PROFESSION,46,,Markaziy saylov komissiyasi raisi,Марказий сайлов комиссияси раиси,Председатель Центральной избирательной комиссии,Oraylıq saylaw komissiyası baslıǵı,false
PROFESSION,47,,O’zbekiston Republikasi Prezidenti,Ўзбекистон Републикаси Президенти,Президент Республики Узбекистан,Ózbekstan Republikasi Prezidenti,false
PROFESSION,48,,Prokuror,Прокурор,Прокурор,Prokuror,false
PROFESSION,49,,"Viloyat (tuman, shahar) prokurori","Вилоят (туман, шаҳар) прокурори","Прокурор области (района, города)","Wálayat (rayon, qala) prokurorı",false
PROFESSION,50,,Prokuror-kriminalist,Прокурор-криминалист,Прокурор-криминалист,Prokuror-kriminalist,false
PROFESSION,51,,Jo’qorg’i Kenges apparati rahbari,Жўқорғи Кенгес аппарати раҳбари,Руководитель аппарата Жокаргы Кенеса,Joqarǵı Keńes apparatı basshısı,false
PROFESSION,52,,O’zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi apparati rahbari,Ўзбекистон Республикаси Олий Мажлиси Қонунчилик палатаси аппарати раҳбари,Руководитель аппарата Законодательной палаты Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Nızamshılıq palatası apparatı basshısı,false
PROFESSION,53,,O’zbekiston Respublikasi Oliy Majlisi Senati apparati rahbari,Ўзбекистон Республикаси Олий Мажлиси Сенати аппарати раҳбари,Руководитель аппарата Сената Олий Мажлиса Республики Узбекистан,Ózbekstan Respublikası Oliy Májilisi Senatı apparatı basshısı,false
PROFESSION,54,,Sud’yalar oliy kengashi inspeksiyasi rahbari,Судьялар олий кенгаши инспекцияси раҳбари,Руководитель инспекции Высшего судейского совета,Sud'yalar oliy keńesi inspekciyası basshısı,false
PROFESSION,55,,Sud’yalar oliy kengashi kotibi,Судьялар олий кенгаши котиби,Секретарь Высшего судейского совета,Sud'yalar oliy keńesi xatkeri,false
PROFESSION,56,,Sud’yalar oliy malaka hay’ati kotibi,Судьялар олий малака ҳайъати котиби,Секретарь квалификационной коллегии судей,Sud'yalar oliy malaka hay'ati xatkeri,false
PROFESSION,57,,Oliy Majlis qo’mitasi (komissiyasi) kotibi,Олий Мажлис қўмитаси (комиссияси) котиби,Секретарь комитета (комиссии) Олий Мажлиса,Oliy Májilis komiteti (komissiyası) xatkeri,false
PROFESSION,58,,Senator,Сенатор,Сенатор,Senator,false
PROFESSION,59,,Oliy Majlis Qonunchilik palatasi Spikeri,Олий Мажлис Қонунчилик палатаси Спикери,Спикер законодательной палаты Олий Мажлиса,Oliy Májilis Nızamshılıq palatası Spikeri,false
PROFESSION,60,,Davlat katta ijrochisi,Давлат катта ижрочиси,Старший государственный исполнитель,Mámleket úlken ijroshısı,false
PROFESSION,96,,Bosh davlat mehnat texnik inspektori,Бош давлат меҳнат техник инспектори,Главный государственный технический инспектор труда,Bas mámleket miynet texnik inspektorı,false
PROFESSION,61,,O’zbekiston Respublikasi Oliy Majlisining Inson huquqlari bo’yicha vakili kotibiyati katta maslahatchisi,Ўзбекистон Республикаси Олий Мажлисининг Инсон ҳуқуқлари бўйича вакили котибияти катта маслаҳатчиси,Старший консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека,Ózbekstan Respublikası Oliy Majlisinıń Inson huquqları boyınsha wákili xatkerligi úlken másláhátshisi,false
PROFESSION,62,,Bo’lim katta prokurori,Бўлим катта прокурори,Старший прокурор отдела,Bólim úlken prokurorı,false
PROFESSION,63,,Boshqarma katta prokurori,Бошқарма катта прокурори,Старший прокурор управления,Basqarma úlken prokurorı,false
PROFESSION,64,,Katta prokuror-kriminalist,Катта прокурор-криминалист,Старший прокурор-криминалист,Úlken prokuror-kriminalist,false
PROFESSION,65,,Oliy Majlisi Qonunchilik palatasi apparati katta referenti,Олий Мажлиси Қонунчилик палатаси аппарати катта референти,Старший референт аппарата Законодательной палаты Олий Мажлиса,Oliy Májilisi Nızamshılıq palatası apparatı úlken referenti,false
PROFESSION,66,,Sud katta ijrochisi,Суд катта ижрочиси,Старший судебный исполнитель,Sud úlken ijroshısı,false
PROFESSION,67,,Oliy Sud sud’yasi,Олий Суд судьяси,Судья Верховного суда,Joqarı sud sud'yasi,false
PROFESSION,68,,Oliy iqtisodiy Sud sud’yasi,Олий иқтисодий Суд судьяси,Судья Высшего хозяйственного суда,Joqarı ekonomikalıq sud sud'yasi,false
PROFESSION,69,,Konstitutsiyaviy Sud sud’yasi,Конституциявий Суд судьяси,Судья Конституционного суда,Konstituciyalıq sud sud'yasi,false
PROFESSION,70,,O’zbekiston Respublikasi Oliy Majlisining Inson huquqlari bo’yicha vakili (Ombudsman),Ўзбекистон Республикаси Олий Мажлисининг Инсон ҳуқуқлари бўйича вакили (Омбудсман),Уполномоченный Олий Мажлиса Республики Узбекистан по правам человека (омбудсман),Ózbekstan Respublikası Oliy Majlisinıń Inson huquqları boyınsha wákili (Ombudsman),false
PROFESSION,71,,O’zbekiston Respublikasi Prezidenti huzuridagi Tadbirkorlik sub’yektlarining huquqlari va qonuniy manfaatlarini himoya qilish bo’yicha vakil (Biznes-ombudsman),Ўзбекистон Республикаси Президенти ҳузуридаги Тадбиркорлик субъектларининг ҳуқуқлари ва қонуний манфаатларини ҳимоя қилиш бўйича вакил (Бизнес-омбудсман),Уполномоченный при Президенте Республики Узбекистан по защите прав и законных интересов субъектов предпринимательства (Бизнес-омбудсман),Ózbekstan Respublikası Prezidenti janındaǵı Tadbirkorlıq sub'yektlarinıń huquqları hám qonuniy manfaatların qorǵaw qılıw boyınsha vakil (Biznes-ombudsman),false
PROFESSION,72,,"Sud a’zosi (Konstitutsiyaviy, Oliy, Oliy xo’jalik)","Суд аъзоси (Конституциявий, Олий, Олий хўжалик)","Член суда (Конституционного, Верховного, Высшего хозяйственного)","Sud a'zosi (Konstitutsiyaviy, Oliy, Oliy xójalıq)",false
PROFESSION,73,,Attashe,Атташе,Атташе,Attashe,false
PROFESSION,74,,O’zbekiston Respublikasi Prezidenti Administratsiyasi yetakchi inspektori,Ўзбекистон Республикаси Президенти Администрацияси етакчи инспектори,Ведущий инспектор Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası jetekshi inspektorı,false
PROFESSION,75,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Devonxonasi yetakchi inspektori,Ўзбекистон Республикаси Президенти Администрацияси Девонхонаси етакчи инспектори,Ведущий инспектор канцелярии Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Devonxonasi jetekshi inspektorı,false
PROFESSION,76,,O’zbekiston Respublikasi Prezidenti Xalq qabulxonasi yetakchi inspektori,Ўзбекистон Республикаси Президенти Халқ қабулхонаси етакчи инспектори,Ведущий инспектор Народной приемной Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Xalıq qabulxonasi jetekshi inspektorı,false
PROFESSION,77,,O’zbekiston Respublikasi Prezidenti Administratsiyasi yetakchi maslahatchisi,Ўзбекистон Республикаси Президенти Администрацияси етакчи маслаҳатчиси,Ведущий консультант Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası jetekshi másláhátshisi,false
PROFESSION,298,,Bosh vazir maslahatchisi,Бош вазир маслаҳатчиси,Советник Премьер-министра,Bas ministr másláhátshisi,false
PROFESSION,226,,Vazirning birinchi o’rinbosari,Вазирнинг биринчи ўринбосари,Первый заместитель министра,Vazirnıń birinshi orınbasarı,false
PROFESSION,78,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Devonxonasi yetakchi maslahatchisi,Ўзбекистон Республикаси Президенти Администрацияси Девонхонаси етакчи маслаҳатчиси,Ведущий консультант канцелярии Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Devonxonasi jetekshi másláhátshisi,false
PROFESSION,79,,O’zbekiston Respublikasi Oliy Majlisining inson huquqlari bo’yicha vakili (ombudsman) Kotibiyatining yetakchi maslahatchisi,Ўзбекистон Республикаси Олий Мажлисининг инсон ҳуқуқлари бўйича вакили (омбудсман) Котибиятининг етакчи маслаҳатчиси,Ведущий консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека (омбудсмана),Ózbekstan Respublikası Oliy Majlisinıń inson huquqları boyınsha wákili (ombudsman) Kotibiyatinıń jetekshi másláhátshisi,false
PROFESSION,80,,Etakchi mutaxassis (davlat hokimiyati va boshqaruv organlarida),Етакчи мутахассис (давлат ҳокимияти ва бошқарув органларида),Ведущий специалист (в органах государственной власти и управления),Etakshı qánige (mámleket hokimiyati hám basqarıw organlarida),false
PROFESSION,81,,O’zbekiston Respublikasi Prezidenti Administratsiyasi yetakchi mutaxassisi,Ўзбекистон Республикаси Президенти Администрацияси етакчи мутахассиси,Ведущий специалист Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası jetekshi qánigesi,false
PROFESSION,82,,Vazirlar Mahkamasi Ijroya apparati yetakchi mutaxassisi,Вазирлар Маҳкамаси Ижроя аппарати етакчи мутахассиси,Ведущий специалист в аппарате Кабинета Министров,Ministrler Mekemesi Ijroya apparatı jetekshi qánigesi,false
PROFESSION,83,,Vitse-konsul,Вице-консул,Вице-консул,Vitse-konsul,false
PROFESSION,84,,O’zbekiston Respublikasi ishlari bo’yicha vaqtinchalik ishonchli vakil,Ўзбекистон Республикаси ишлари бўйича вақтинчалик ишончли вакил,Временный поверенный в делах Республики Узбекистан,Ózbekstan Respublikası jumısları boyınsha waqıtsxalıq ishonchli vakil,false
PROFESSION,85,,Elchixona ikkinchi kotibi,Элчихона иккинчи котиби,Второй секретарь посольства,Elchixona ekinshi xatkeri,false
PROFESSION,86,,O’zbekiston Respublikasining xalqaro tashkilotdagi missiya rahbari,Ўзбекистон Республикасининг халқаро ташкилотдаги миссия раҳбари,Глава миссии Республики Узбекистан при международной организации,Ózbekstan Respublikasinıń xalıqaralıq tashkilotdagi missiya basshısı,false
PROFESSION,87,,O’zbekiston Respublikasi Prezidenti Administratsiyasi bosh arxivchisi,Ўзбекистон Республикаси Президенти Администрацияси бош архивчиси,Главный архивист Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası bas arxivshısı,false
PROFESSION,88,,Davlat bosh muhandis-inspektori,Давлат бош муҳандис-инспектори,Главный государственный инженер-инспектор,Mámleket Bas injener-inspektorı,false
PROFESSION,89,,Bosh davlat inspektori,Бош давлат инспектори,Главный государственный инспектор,Bas mámleket inspektorı,false
PROFESSION,90,,Tabiatni muhofaza qilish bo’yicha bosh davlat inspektori,Табиатни муҳофаза қилиш бўйича бош давлат инспектори,Главный государственный инспектор по охране природы,Tabiatni qorǵaw qılıw boyınsha Bas mámleket inspektorı,false
PROFESSION,91,,Baliqlarni muhofaza qilish bo’yicha bosh davlat inspektori,Балиқларни муҳофаза қилиш бўйича бош давлат инспектори,Главный государственный инспектор по рыбоохране,Baliqlardı qorǵaw qılıw boyınsha Bas mámleket inspektorı,false
PROFESSION,92,,Davlat soliq bosh inspektori,Давлат солиқ бош инспектори,Главный государственный налоговый инспектор,Mámleket salıq bas inspektorı,false
PROFESSION,93,,Davlat soliq bosh inspektori - taftishchi,Давлат солиқ бош инспектори - тафтишчи,Главный государственный налоговый инспектор-ревизор,Mámleket salıq bas inspektorı - taftishshı,false
PROFESSION,94,,Bosh davlat ov inspektori,Бош давлат ов инспектори,Главный государственный охотничий инспектор,Bas mámleket ov inspektorı,false
PROFESSION,755,,Bosh radiolog,Бош радиолог,Главный радиолог,Bas radiolog,false
PROFESSION,95,,Bosh davlat mehnat huquq inspektori,Бош давлат меҳнат ҳуқуқ инспектори,Главный государственный правовой инспектор труда,Bas mámleket miynet huqıq inspektorı,false
PROFESSION,97,,Mehnat sharoitlari bo’yicha bosh davlat eksperti,Меҳнат шароитлари бўйича бош давлат эксперти,Главный государственный эксперт по условиям труда,Miynet sharoitları boyınsha Bas mámleket eksperti,false
PROFESSION,98,,Bosh surishtiruvchi,Бош суриштирувчи,Главный дознаватель,Bas surishtirıwshı,false
PROFESSION,99,,O’zbekiston Respublikasi Prezidenti Administratsiyasi bosh inspektori,Ўзбекистон Республикаси Президенти Администрацияси бош инспектори,Главный инспектор Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası bas inspektorı,false
PROFESSION,100,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Devonxonasi bosh inspektori,Ўзбекистон Республикаси Президенти Администрацияси Девонхонаси бош инспектори,Главный инспектор канцелярии Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Devonxonasi bas inspektorı,false
PROFESSION,101,,O’zbekiston Respublikasi Prezidenti Xalq qabulxonasi bosh inspektori,Ўзбекистон Республикаси Президенти Халқ қабулхонаси бош инспектори,Главный инспектор Народной приемной Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Xalıq qabulxonasi bas inspektorı,false
PROFESSION,102,,Turizm bo’yicha bosh inspektor,Туризм бўйича бош инспектор,Главный инспектор по туризму,Turizm boyınsha bas inspektor,false
PROFESSION,103,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Moliya-xo’jalik departamenti Bosh inspektori,Ўзбекистон Республикаси Президенти Администрацияси Молия-хўжалик департаменти Бош инспектори,Главный инспектор Финансово-хозяйственного департамента Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Moliya-xójalıq departamenti Bas inspektorı,false
PROFESSION,104,,Bosh maslahatchi,Бош маслаҳатчи,Главный консультант,Bas másláhátshi,false
PROFESSION,105,,O’zbekiston Respublikasi Prezidenti Administratsiyasi bosh maslahatchisi,Ўзбекистон Республикаси Президенти Администрацияси бош маслаҳатчиси,Главный консультант Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası bas másláhátshisi,false
PROFESSION,106,,O’zbekiston Respublikasi Prezidenti Administratsiyasi devonxonasi bosh maslahatchisi,Ўзбекистон Республикаси Президенти Администрацияси девонхонаси бош маслаҳатчиси,Главный консультант канцелярии Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası devonxonasi bas másláhátshisi,false
PROFESSION,107,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Moliya-xo’jaligi Departamenti bosh maslahatchisi,Ўзбекистон Республикаси Президенти Администрацияси Молия-хўжалиги Департаменти бош маслаҳатчиси,Главный консультант Финансово-хозяйственного департамента Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Moliya-xójaligi Departamenti bas másláhátshisi,false
PROFESSION,108,,Bosh nazoratchi-taftishchi,Бош назоратчи-тафтишчи,Главный контролер-ревизор,Bas qadaǵalawshı-taftishshı,false
PROFESSION,109,,Bosh huquqiy inspektor,Бош ҳуқуқий инспектор,Главный правовой инспектор,Bas huqıqıy inspektor,false
PROFESSION,110,,Davlat asillik darajasini belgilash palatasining Bosh probireri,Давлат асиллик даражасини белгилаш палатасининг Бош пробирери,Главный пробирер Пробирной палаты,Mámleket asillıq darajasini belgilash palatasinıń Bas probireri,false
PROFESSION,111,,Bosh taftishchi,Бош тафтишчи,Главный ревизор,Bas taftishshı,false
PROFESSION,112,,Harakat xavfsizligi bo’yicha bosh taftishchi,Ҳаракат хавфсизлиги бўйича бош тафтишчи,Главный ревизор по безопасности движения,Háreket qáwipsizligi boyınsha bas taftishshı,false
PROFESSION,113,,Bosh maslahatchi,Бош маслаҳатчи,Главный советник,Bas másláhátshi,false
PROFESSION,446,,Kinoteatr direktori,Кинотеатр директори,Директор кинотеатра,Kinoteatr direktorı,false
PROFESSION,114,,Bosh mutaxassis (Vazirlar Mahkamasi ijroya apparatida),Бош мутахассис (Вазирлар Маҳкамаси ижроя аппаратида),Главный специалист (в аппарате Кабинета Министров),Bas qánige (Ministrler Mekemesi ijroya apparatida),false
PROFESSION,170,,Vazirlar Kengashi raisi o’rinbosari,Вазирлар Кенгаши раиси ўринбосари,Заместитель председателя Совета Министров,Ministrler Keńesi baslıǵı orınbasarı,false
PROFESSION,115,,O’zbekiston Respublikasi Prezidenti Administratsiyasi Bosh mutaxassisi,Ўзбекистон Республикаси Президенти Администрацияси Бош мутахассиси,Главный специалист Администрации Президента Республики Узбекистан,Ózbekstan Respublikası Prezidenti Administraciyası Bas qánigesi,false
PROFESSION,116,,"Viloyat, shahar va tuman inspeksiyasida bosh mutaxassis","Вилоят, шаҳар ва туман инспекциясида бош мутахассис","Главный специалист областной, городской и районной инспекции","Wálayat, qala hám rayon inspeksiyasida Bas qánige",false
PROFESSION,117,,"Boshqarma, bo’lim bosh mutaxassisi (davlat hokimiyati va boshqaruv organlarida)","Бошқарма, бўлим бош мутахассиси (давлат ҳокимияти ва бошқарув органларида)","Главный специалист отдела, управления (в органах государственной власти и управления)","Basqarma, bólim bas qánigesi (mámleket hokimiyati hám basqarıw organlarida)",false
PROFESSION,118,,Fanlar akademiyasi bosh ilmiy kotibi,Фанлар академияси бош илмий котиби,Главный ученый секретарь Академии наук,Fanlar akademiyasi bas ilimiy xatkeri,false
PROFESSION,119,,Davlat yo’l inspektori,Давлат йўл инспектори,Государственный дорожный инспектор,Mámleket jol inspektorı,false
PROFESSION,120,,Tabiatni muhofaza qilish davlat inspektori,Табиатни муҳофаза қилиш давлат инспектори,Государственный инспектор по охране природы,Tabiatni qorǵaw qılıw mámleket inspektorı,false
PROFESSION,121,,Davlat soliq inspektori,Давлат солиқ инспектори,Государственный налоговый инспектор,Mámleket salıq inspektorı,false
